"user_id","payment_date","payment_month","mrr","new_mrr","new_users","churned_users","churned_revenue"
xiXTXOEbWU+HnGOUmgc9/w==,2022-04-21,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
DorDcyqBWMg5IEaflqn5Xw==,2022-04-21,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"2FYEYdoJMUOtbJ6TruruWA==",2022-04-22,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"75lEf3nSWLSf6GncqhR9gQ==",2022-04-22,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
iFFApiXZ2wPdS666BLpKZw==,2022-04-22,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"7SeM1pmnTTTXfhI+x3ldng==",2022-04-22,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
l3sFUsG2qpcnrEzwRnjvtQ==,2022-04-23,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
aQDvOXzsDAJWi3Y47ptRPg==,2022-04-23,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Jp0hnV9XOJGVV5jpFhlqgQ==,2022-04-23,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"75lEf3nSWLSf6GncqhR9gQ==",2022-04-23,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
J6WNl39fdxaY8ZtvV8wNkw==,2022-04-23,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
B4b6v6eUHvAVOeAQk6EEiw==,2022-04-23,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
WAdVK2sJHdBL0bCFyVa0ww==,2022-04-23,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
xiXTXOEbWU+HnGOUmgc9/w==,2022-04-23,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
GEAVJz1gd3SThbDZR01fcA==,2022-04-24,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
o55dseByUOl9s5IQCz1kuQ==,2022-04-24,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Grpkzd4XIHh+ZbTMNxnUGg==,2022-04-24,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
V7J42heW8l19wiBJ8UpRyw==,2022-04-24,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
HxWcXHURvvtOJkrXAcDxQg==,2022-04-25,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
iFnn4bfYgNs8OS5MCcLjeA==,2022-04-25,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
lCD23Awt3KotauWenCRr5w==,2022-04-25,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
A1qVjssGQ+ZUWZu3Z5DzTA==,2022-04-25,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
